epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,349.53,0.78324,5.34791,0.32166,0.51014,1.16466,0.93692,0.94434,0.96778,0.78832,0.80618,0.60653,0.60336,0.30214,0.82177,4.35231,0.1122,0.48649,1.17937,0.0010694,0.0010694,0.0010694
49,356.619,0.77129,5.19801,0.32032,0.50639,1.1632,0.96157,0.95202,0.98749,0.82694,0.79472,0.60269,0.6129,0.31718,0.75557,4.20219,0.13098,0.41788,1.12113,0.0010496,0.0010496,0.0010496
50,363.726,0.78508,5.30309,0.32239,0.50881,1.172,0.95686,0.95777,0.98769,0.82486,0.82186,0.6287,0.65795,0.36684,0.74933,4.03947,0.10938,0.40678,1.10604,0.0010298,0.0010298,0.0010298
51,370.831,0.79462,5.3447,0.3222,0.52557,1.17433,0.96496,0.95142,0.98728,0.83916,0.79229,0.61996,0.64226,0.35489,0.74523,4.15183,0.12454,0.39984,1.11409,0.00101,0.00101,0.00101
52,377.939,0.75068,5.15134,0.31842,0.49683,1.15832,0.96685,0.95177,0.98706,0.82729,0.79961,0.60077,0.63612,0.35665,0.74954,4.01476,0.10103,0.40246,1.10854,0.0009902,0.0009902,0.0009902
53,385.017,0.76308,5.10128,0.31402,0.48664,1.16005,0.95174,0.96161,0.98694,0.81877,0.78953,0.60845,0.61263,0.31842,0.76279,4.3066,0.10359,0.43577,1.12715,0.0009704,0.0009704,0.0009704
54,392.134,0.76869,5.17194,0.30892,0.50258,1.15145,0.96114,0.97889,0.98982,0.84515,0.79809,0.61996,0.661,0.38451,0.71965,3.88306,0.10056,0.38971,1.09418,0.0009506,0.0009506,0.0009506
55,399.256,0.75527,5.08917,0.31716,0.49378,1.15668,0.97624,0.95969,0.98916,0.83611,0.783,0.6142,0.61848,0.33168,0.72976,4.09034,0.10089,0.38956,1.10178,0.0009308,0.0009308,0.0009308
56,406.369,0.74088,5.00846,0.30693,0.48357,1.14629,0.96492,0.95585,0.98928,0.82108,0.82232,0.62764,0.65319,0.37761,0.77925,3.93982,0.09625,0.40535,1.13121,0.000911,0.000911,0.000911
57,413.479,0.74763,4.98372,0.30598,0.48392,1.13699,0.96161,0.96168,0.98943,0.83602,0.81331,0.63724,0.65653,0.39604,0.73156,3.90814,0.09971,0.39016,1.09972,0.0008912,0.0008912,0.0008912
