epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,859.244,0.40043,6.35619,0,0.26343,0.9529,0.98359,0.99904,0.99483,0.96337,0.84754,0.83889,0.80706,0.14373,0.29349,4.35286,0,0.17376,0.78848,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
77,870.093,0.37739,6.2682,0,0.25936,0.93358,0.99447,0.99993,0.995,0.96457,0.8183,0.80556,0.77115,0.12831,0.27528,4.45992,0,0.15947,0.78278,0.00509712,0.00169904,0.00509712,0.00169904,0.00509712,0.00169904,0.00509712,0.00169904
78,881.051,0.38776,6.33428,0,0.26172,0.94343,0.99948,0.99444,0.995,0.97094,0.88387,0.87222,0.88082,0.1768,0.28398,4.27248,0,0.1666,0.79457,0.00508524,0.00169508,0.00508524,0.00169508,0.00508524,0.00169508,0.00508524,0.00169508
79,891.997,0.37663,6.21491,0,0.25925,0.9339,0.99945,1,0.995,0.97169,0.85366,0.85,0.86359,0.17322,0.27141,4.29823,0,0.15239,0.77833,0.00507336,0.00169112,0.00507336,0.00169112,0.00507336,0.00169112,0.00507336,0.00169112
80,902.978,0.37733,6.19092,0,0.25482,0.93316,0.99969,1,0.995,0.97002,0.80318,0.79444,0.77006,0.13372,0.27144,4.41062,0,0.15139,0.7808,0.00506148,0.00168716,0.00506148,0.00168716,0.00506148,0.00168716,0.00506148,0.00168716
81,913.876,0.39697,6.36498,0,0.2729,0.94451,0.99956,0.99444,0.995,0.969,0.81526,0.81111,0.78397,0.14248,0.27577,4.36423,0,0.16538,0.78227,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
82,924.861,0.37957,6.12721,0,0.26036,0.93253,0.99396,1,0.99494,0.97354,0.84711,0.82222,0.80501,0.14416,0.26766,4.32606,0,0.16189,0.77576,0.00503772,0.00167924,0.00503772,0.00167924,0.00503772,0.00167924,0.00503772,0.00167924
83,936.025,0.38438,6.19743,0,0.26867,0.94117,1,0.99381,0.995,0.96925,0.8785,0.85,0.83384,0.16344,0.2657,4.29231,0,0.16584,0.77689,0.00502584,0.00167528,0.00502584,0.00167528,0.00502584,0.00167528,0.00502584,0.00167528
84,947.006,0.38086,6.08834,0,0.25121,0.93206,0.98358,0.99854,0.99438,0.9693,0.85802,0.85,0.80155,0.15796,0.26743,4.28352,0,0.16417,0.77391,0.00501396,0.00167132,0.00501396,0.00167132,0.00501396,0.00167132,0.00501396,0.00167132
85,957.736,0.36803,6.11379,0,0.25045,0.93082,0.98706,1,0.99387,0.97025,0.87888,0.88333,0.87463,0.18518,0.27195,4.15439,0,0.16553,0.7851,0.00500208,0.00166736,0.00500208,0.00166736,0.00500208,0.00166736,0.00500208,0.00166736
86,968.747,0.39122,6.20641,0,0.26586,0.94808,0.99395,1,0.99489,0.96883,0.88349,0.88889,0.88895,0.16714,0.27844,4.24069,0,0.16001,0.78083,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
87,979.662,0.38069,5.99195,0,0.25843,0.93623,0.98989,1,0.99434,0.96783,0.91234,0.91111,0.89299,0.18895,0.28171,4.09987,0,0.1621,0.78798,0.00497832,0.00165944,0.00497832,0.00165944,0.00497832,0.00165944,0.00497832,0.00165944
88,990.631,0.3887,6.02861,0,0.26068,0.93626,0.98346,1,0.99467,0.97246,0.86874,0.86111,0.845,0.16392,0.27579,4.23067,0,0.16946,0.78246,0.00496644,0.00165548,0.00496644,0.00165548,0.00496644,0.00165548,0.00496644,0.00165548
89,1001.62,0.36269,5.90105,0,0.24487,0.92602,0.98326,1,0.99478,0.97358,0.87597,0.86667,0.87815,0.18188,0.26374,4.21538,0,0.16278,0.78163,0.00495456,0.00165152,0.00495456,0.00165152,0.00495456,0.00165152,0.00495456,0.00165152
90,1012.78,0.37942,5.95848,0,0.25069,0.93164,0.993,1,0.99483,0.97278,0.89495,0.9,0.90611,0.18522,0.26809,4.21136,0,0.15353,0.77903,0.00494268,0.00164756,0.00494268,0.00164756,0.00494268,0.00164756,0.00494268,0.00164756
91,1023.79,0.3774,5.96579,0,0.25463,0.93294,0.99413,1,0.995,0.96921,0.89998,0.89444,0.88806,0.17239,0.27578,4.19717,0,0.15495,0.78025,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
92,1034.75,0.38021,6.01288,0,0.25576,0.93908,0.99855,1,0.995,0.96511,0.93267,0.92342,0.93582,0.21739,0.28764,4.08221,0,0.16122,0.78819,0.00491892,0.00163964,0.00491892,0.00163964,0.00491892,0.00163964,0.00491892,0.00163964
93,1045.73,0.36781,5.89702,0,0.2455,0.92871,0.99445,0.9956,0.99494,0.97047,0.91512,0.91111,0.91842,0.21837,0.26637,4.00166,0,0.15789,0.78389,0.00490704,0.00163568,0.00490704,0.00163568,0.00490704,0.00163568,0.00490704,0.00163568
94,1056.74,0.37007,5.92519,0,0.25265,0.92891,0.9861,0.99444,0.99363,0.9697,0.89765,0.9,0.90436,0.21172,0.27394,4.0639,0,0.17382,0.78267,0.00489516,0.00163172,0.00489516,0.00163172,0.00489516,0.00163172,0.00489516,0.00163172
95,1067.76,0.37033,5.88209,0,0.25367,0.92613,0.98825,1,0.99489,0.97446,0.89056,0.88333,0.90991,0.21655,0.27676,4.04795,0,0.15486,0.78557,0.00488328,0.00162776,0.00488328,0.00162776,0.00488328,0.00162776,0.00488328,0.00162776
