epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
39,225.895,0.39892,9.04915,0,0.27435,0.95501,0.96771,0.99901,0.99403,0.94426,0,0,0,0,0.35196,7.79767,0,0.22446,0.86247,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,231.417,0.4087,9.02877,0,0.28343,0.95041,0.96772,0.99926,0.99468,0.955,0,0,0,0,0.33926,7.62777,0,0.22222,0.84506,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,236.775,0.40019,9.17816,0,0.28146,0.94979,0.96772,0.99932,0.99401,0.94208,0,0,0,0,0.36325,7.6672,0,0.22307,0.86993,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,242.338,0.41541,9.08943,0,0.28528,0.96181,0.96688,0.98333,0.99354,0.94841,0,0,0,0,0.35036,7.77098,0,0.22506,0.86956,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,247.655,0.39972,8.83988,0,0.28254,0.9468,0.96754,1,0.99434,0.9544,0,0,0,0,0.35244,7.62409,0,0.22285,0.87133,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,253.2,0.39715,8.94825,0,0.27896,0.94589,0.96672,1,0.99434,0.9432,0,0,0,0,0.36276,7.51871,0,0.22215,0.87009,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,258.5,0.40333,8.8594,0,0.27876,0.95436,0.96678,1,0.99403,0.95297,0,0,0,0,0.36182,7.62741,0,0.22242,0.86983,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,264.046,0.38644,8.93965,0,0.27723,0.94413,0.96682,1,0.99434,0.95993,0,0,0,0,0.35863,7.45794,0,0.21757,0.86926,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,269.368,0.40429,8.82891,0,0.27217,0.95298,0.9669,1,0.99434,0.94931,0,0,0,0,0.35526,7.34723,0,0.21944,0.8622,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,274.975,0.40938,8.92097,0,0.28721,0.9482,1,0.99474,0.995,0.95002,0,0,0,0,0.34948,7.50524,0,0.19242,0.86149,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,280.21,0.40762,8.80176,0,0.2795,0.95641,1,0.99627,0.995,0.94157,0,0,0,0,0.36872,7.13382,0,0.20119,0.88072,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,285.763,0.40124,8.71593,0,0.26586,0.94591,1,0.97974,0.99484,0.94947,0,0,0,0,0.34912,7.20547,0,0.20039,0.86578,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
